args,full_path,created,json,cookies,url,headers,method,remote_addr,files,form,id,provider,ip,requesting_ip,gn_classification
{},/.env?,2023-04-14 23:26:12.374023+00:00,{},{},http://35.184.200.155/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '104.215.76.202', 'Host': '35.184.200.155', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '104.215.76.202'}",GET,,{},{},1fd827c0-2e15-4042-bd96-65ac6b8efdb5,GCP,,104.215.76.202,unknown
{},/?,2023-04-09 07:12:31.244307+00:00,{},{},http://20.169.235.110/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/52.0.2743.116 Safari/537.36', 'X-Forwarded-For': '85.66.166.44', 'Host': '20.169.235.110:80', 'Content-Length': '0', 'X-Real-Ip': '85.66.166.44'}",GET,,{},{},5c1e9ef4-01f6-4580-8143-bcd74b93302c,Azure,20.169.235.110,85.66.166.44,malicious
{},/?,2023-04-18 20:04:07.032331+00:00,{},{},http://20.121.185.49/,"{'Accept': '*/*', 'X-Requested-With': 'XMLHttpRequest', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.4430.85 Safari/537.36 Edg/90.0.818.46', 'X-Forwarded-For': '193.32.162.159', 'Host': '20.121.185.49', 'Accept-Encoding': 'gzip, deflate,gzip, deflate', 'Accept-Language': 'en US,en;q=0.9,sv;q=0.8', 'X-Real-Ip': '193.32.162.159', 'Content-Type': 'application/x-www-form-urlencoded; charset=UTF-8'}",GET,,{},{},67020774-36b0-4bae-9669-49528c0aa908,Azure,,193.32.162.159,unknown
{'lang': 'en'},/index.php?lang=en,2023-04-10 02:33:19.478497+00:00,{},{},http://20.169.236.160/index.php?lang=en,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/109.0.0.0 Safari/537.36', 'X-Forwarded-For': '75.112.188.210', 'Host': '20.169.236.160', 'Accept-Encoding': 'gzip', 'X-Real-Ip': '75.112.188.210'}",GET,,{},{},ca360c6b-09b9-40f5-90f2-f79330c91f84,Azure,,75.112.188.210,malicious
{},/.env?,2023-04-11 09:10:01.476265+00:00,{},{},http://34.71.117.23/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '54.37.79.75', 'Host': '34.71.117.23', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '54.37.79.75'}",GET,,{},{},e6a8072d-c320-402d-a90f-da1db81454c7,GCP,,54.37.79.75,unknown
{},/deploy.env?,2023-04-18 18:49:02.100933+00:00,{},{},http://3.86.163.161/deploy.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1; WOW64; rv:40.0) Gecko/20100101 Firefox/40.1', 'X-Forwarded-For': '23.97.172.10', 'Host': '3.86.163.161', 'X-Real-Ip': '23.97.172.10'}",GET,,{},{},8b56bf40-d6a1-46b3-8a3e-e4942da7c4f8,AWS,,23.97.172.10,malicious
{},/.env?,2023-04-16 09:50:39.749978+00:00,{},{},http://44.203.150.1/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '185.254.196.173', 'Host': '44.203.150.1', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '185.254.196.173'}",GET,,{},{},f9c37981-7df5-409a-90cf-373a1bd51130,AWS,,185.254.196.173,unknown
{},/?,2023-04-21 14:23:54.803687+00:00,{},{},http://20.169.237.11/,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (Windows NT 6.1; WOW64; rv:8.0) Gecko/20100101 Firefox/8.0', 'X-Forwarded-For': '176.58.96.167', 'Host': '20.169.237.11', 'Accept-Encoding': 'deflate, gzip, br', 'X-Real-Ip': '176.58.96.167'}",GET,,{},{},4b42c79d-29c2-4a40-b58d-20608dcbe993,Azure,,176.58.96.167,unknown
{},/?,2023-04-10 00:24:28.457335+00:00,{},{},http://52.91.162.211/,"{'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Go-http-client/1.1', 'X-Forwarded-For': '185.168.9.183', 'Host': '52.91.162.211', 'Accept-Encoding': 'gzip', 'X-Real-Ip': '185.168.9.183', 'Via': '1.1 tinyproxy (tinyproxy/1.10.0)'}",GET,,{},{},c559e4b3-8d0a-4adf-9714-b1128119d39d,AWS,,185.168.9.183,unknown
{},/.env?,2023-04-19 03:17:48.397784+00:00,{},{},http://34.68.197.145/.env,"{'Accept': '*/*', 'X-Forwarded-Proto': 'http', 'Connection': 'close', 'User-Agent': 'Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/81.0.4044.129 Safari/537.36', 'X-Forwarded-For': '95.214.235.216', 'Host': '34.68.197.145', 'Accept-Encoding': 'gzip, deflate', 'X-Real-Ip': '95.214.235.216'}",GET,,{},{},76bf4dca-2af8-4d7d-b103-a3a1e96f64f7,GCP,,95.214.235.216,unknown
